order_id,customer_id,store_id,employee_id,order_date,ship_date,delivery_date,status,payment_method,shipping_method,discount_pct,region_id
87,3349,33,269,2024-05-14,2024-05-17,2024-05-22,Delivered,Credit Card,Express,5,1
88,2074,33,166,2025-05-15,2025-05-19,2025-05-24,Delivered,Credit Card,Standard,0,1
89,3025,34,87,2025-12-04,,,Cancelled,Wire Transfer,Overnight,10,8
90,4626,9,253,2025-10-14,2025-10-19,,Shipped,Apple Pay,Standard,10,6
91,2296,50,298,2023-11-17,2023-11-23,2023-12-01,Delivered,Wire Transfer,Standard,15,9
92,2233,47,40,2024-11-09,2024-11-14,2024-11-28,Delivered,Credit Card,Overnight,10,2
93,941,6,59,2025-05-22,,,Cancelled,Apple Pay,Overnight,15,6
94,3980,15,96,2022-07-21,2022-07-22,2022-07-24,Delivered,Wire Transfer,Overnight,10,4
95,2224,30,98,2023-07-26,,,Pending,Google Pay,Overnight,0,6
96,134,39,246,2024-12-09,2024-12-16,2024-12-29,Delivered,Credit Card,Overnight,0,7
97,158,4,142,2025-02-25,,,Cancelled,Credit Card,Free Shipping,15,4
98,241,49,146,2024-12-08,,,Pending,Gift Card,Express,20,1
99,1499,13,136,2024-11-25,2024-11-27,2024-12-09,Delivered,Apple Pay,Express,10,7
100,3487,34,22,2025-10-12,2025-10-18,2025-10-25,Delivered,Google Pay,Overnight,15,8
101,2137,14,13,2024-11-15,2024-11-17,2024-12-01,Delivered,Debit Card,Free Shipping,30,1
102,3601,15,285,2023-11-01,2023-11-04,2023-11-06,Delivered,Google Pay,Free Shipping,25,4
103,3509,39,38,2024-09-06,2024-09-11,2024-09-25,Delivered,Wire Transfer,Free Shipping,0,7
104,4855,41,260,2025-10-08,2025-10-13,2025-10-17,Delivered,Wire Transfer,Standard,0,9
105,412,45,122,2024-11-19,2024-11-25,2024-12-04,Delivered,Wire Transfer,Standard,0,1
106,2637,1,196,2023-04-24,2023-04-28,2023-04-29,Delivered,Debit Card,Pickup,20,2
107,811,38,105,2024-11-12,2024-11-19,2024-11-25,Delivered,Google Pay,Free Shipping,0,2
108,1827,6,128,2025-06-05,,,Processing,Google Pay,Standard,5,6
109,1071,13,154,2025-10-18,2025-10-22,2025-10-26,Delivered,Credit Card,Express,10,7
110,3717,9,224,2025-11-01,2025-11-03,2025-11-14,Delivered,Apple Pay,Standard,0,6
111,3062,25,158,2022-01-02,2022-01-09,2022-01-16,Delivered,Debit Card,Free Shipping,5,3
112,2714,40,177,2025-07-09,,,Cancelled,Credit Card,Pickup,20,2
113,4184,49,2,2025-08-16,2025-08-18,2025-08-24,Delivered,PayPal,Pickup,0,1
114,4506,33,205,2024-10-04,2024-10-06,,Returned,Credit Card,Standard,0,1
115,3966,18,194,2022-05-06,2022-05-07,,Returned,Apple Pay,Overnight,0,4
116,4855,35,223,2023-07-23,2023-07-24,2023-08-02,Delivered,Wire Transfer,Overnight,0,8
117,388,38,287,2023-05-05,2023-05-12,2023-05-17,Delivered,Gift Card,Overnight,0,2
118,4785,21,177,2022-11-15,2022-11-17,,Returned,Apple Pay,Free Shipping,5,1
119,2356,13,93,2022-03-04,,,Pending,Wire Transfer,Free Shipping,5,7
120,152,38,161,2024-05-27,2024-05-28,2024-06-09,Delivered,Credit Card,Pickup,0,2
121,14,10,137,2023-11-21,2023-11-25,2023-12-07,Delivered,Gift Card,Overnight,0,5
122,216,1,200,2025-09-26,2025-09-30,2025-10-11,Delivered,Gift Card,Overnight,5,2
123,1501,11,244,2025-11-03,2025-11-04,2025-11-18,Delivered,Google Pay,Free Shipping,10,6
124,26,46,21,2025-11-17,2025-11-23,2025-12-07,Delivered,Debit Card,Express,5,8
125,3676,32,161,2023-06-09,2023-06-10,2023-06-15,Delivered,Google Pay,Express,10,4
126,4998,5,20,2022-11-05,2022-11-12,2022-11-20,Delivered,PayPal,Pickup,0,1
127,3654,5,140,2024-11-10,2024-11-11,2024-11-18,Delivered,Debit Card,Overnight,0,1
128,1152,29,230,2022-11-21,2022-11-23,2022-12-07,Delivered,Google Pay,Express,15,7
129,4472,39,289,2025-12-22,2025-12-23,2026-01-01,Delivered,Credit Card,Overnight,15,7
130,3594,22,79,2025-01-17,2025-01-23,2025-01-25,Delivered,Wire Transfer,Overnight,0,5
131,406,42,267,2023-10-13,2023-10-17,,Returned,Debit Card,Standard,20,8
132,2984,19,56,2024-03-04,,,Pending,Credit Card,Pickup,5,2
133,2452,39,269,2025-06-16,2025-06-22,2025-06-30,Delivered,Credit Card,Pickup,0,7
134,2096,28,182,2024-08-14,2024-08-17,,Returned,Apple Pay,Express,0,3
135,2564,23,79,2024-11-19,2024-11-25,2024-12-03,Delivered,Debit Card,Overnight,0,5
136,532,16,265,2023-07-19,2023-07-25,2023-08-06,Delivered,Apple Pay,Express,5,8
137,4048,35,116,2025-07-02,2025-07-04,2025-07-15,Delivered,Gift Card,Pickup,10,8
138,1769,5,253,2022-10-20,2022-10-26,2022-10-27,Delivered,Wire Transfer,Standard,10,1
139,1057,37,211,2025-09-24,2025-09-30,2025-10-04,Delivered,Credit Card,Overnight,0,1
140,1443,15,114,2024-06-03,2024-06-06,2024-06-17,Delivered,Google Pay,Overnight,25,4
141,403,8,92,2024-11-10,,,Processing,Wire Transfer,Free Shipping,0,7
142,4932,33,62,2025-09-03,2025-09-09,2025-09-21,Delivered,Credit Card,Express,5,1
143,947,25,261,2023-09-03,2023-09-05,2023-09-10,Delivered,PayPal,Free Shipping,25,3
144,1602,29,241,2024-06-23,2024-06-28,,Returned,Google Pay,Express,5,7
145,1508,14,271,2024-06-04,2024-06-08,2024-06-15,Delivered,Wire Transfer,Free Shipping,0,1
146,396,43,20,2024-01-16,2024-01-21,2024-02-01,Delivered,Apple Pay,Free Shipping,0,7
147,3912,26,105,2022-08-24,,,Cancelled,Wire Transfer,Overnight,0,1
148,3054,20,74,2024-04-02,2024-04-05,2024-04-10,Delivered,Debit Card,Pickup,5,7
149,4290,24,61,2023-12-28,,,Cancelled,Credit Card,Express,0,5
150,4839,17,116,2024-07-09,,,Pending,Google Pay,Pickup,15,9
151,4574,10,253,2023-06-25,2023-06-29,,Shipped,Apple Pay,Free Shipping,15,5
152,1807,50,258,2024-04-03,2024-04-05,2024-04-11,Delivered,Debit Card,Free Shipping,10,9
153,344,5,71,2022-10-21,2022-10-22,2022-11-02,Delivered,Wire Transfer,Pickup,0,1
154,4126,46,160,2025-10-16,2025-10-19,2025-10-28,Delivered,PayPal,Standard,5,8
155,804,20,17,2023-05-14,,,Processing,Debit Card,Express,5,7
156,3936,43,142,2024-09-28,2024-10-01,2024-10-07,Delivered,Wire Transfer,Free Shipping,0,7
157,4916,10,77,2025-10-26,2025-10-27,2025-11-04,Delivered,Wire Transfer,Overnight,5,5
158,2803,4,138,2022-11-21,2022-11-27,2022-11-29,Delivered,Credit Card,Overnight,0,4
159,4078,15,267,2024-09-03,2024-09-10,2024-09-20,Delivered,Gift Card,Express,5,4
160,1451,28,37,2025-09-01,2025-09-03,2025-09-11,Delivered,Debit Card,Pickup,5,3
161,4767,33,86,2023-08-27,2023-08-28,2023-09-11,Delivered,Gift Card,Pickup,10,1
162,910,35,166,2025-09-01,,,Cancelled,Debit Card,Standard,0,8
163,1755,32,233,2024-04-02,2024-04-05,2024-04-19,Delivered,Google Pay,Pickup,0,4
164,3509,1,163,2023-06-19,2023-06-23,2023-06-28,Delivered,Wire Transfer,Pickup,0,2
165,2478,29,270,2024-12-06,2024-12-10,2024-12-16,Delivered,Apple Pay,Standard,5,7
166,1774,26,43,2025-01-28,2025-02-02,2025-02-11,Delivered,Gift Card,Express,0,1
167,3148,4,189,2024-12-05,2024-12-09,2024-12-23,Delivered,Apple Pay,Express,5,4
168,1221,23,80,2025-02-07,,,Pending,Wire Transfer,Free Shipping,0,5
169,1474,33,263,2023-09-06,2023-09-12,2023-09-22,Delivered,Gift Card,Pickup,5,1
170,1268,19,218,2023-05-23,,,Processing,Google Pay,Standard,10,2
171,1660,15,175,2022-08-22,2022-08-27,,Shipped,Wire Transfer,Express,0,4
172,955,14,46,2025-06-08,2025-06-10,2025-06-22,Delivered,Debit Card,Free Shipping,20,1
173,4579,5,29,2024-08-20,2024-08-25,2024-08-27,Delivered,Debit Card,Express,0,1
174,827,46,75,2025-06-05,,,Cancelled,PayPal,Pickup,10,8
175,4461,43,18,2022-11-14,,,Processing,PayPal,Overnight,10,7
176,2924,10,226,2022-10-14,,,Processing,Google Pay,Standard,10,5
177,2694,33,47,2023-08-22,2023-08-23,,Shipped,Google Pay,Free Shipping,0,1
178,368,24,86,2023-03-09,,,Cancelled,Credit Card,Free Shipping,0,5
179,3405,34,168,2025-05-10,2025-05-14,2025-05-19,Delivered,Credit Card,Standard,10,8
180,242,48,206,2025-04-17,2025-04-20,,Returned,Wire Transfer,Standard,10,4
181,3251,33,70,2024-09-12,2024-09-13,2024-09-15,Delivered,Apple Pay,Overnight,10,1
182,4975,7,287,2022-06-20,2022-06-23,,Shipped,Gift Card,Overnight,30,6
183,275,14,212,2023-10-27,2023-10-28,2023-10-29,Delivered,Gift Card,Free Shipping,0,1
184,4433,18,283,2023-07-23,2023-07-28,,Shipped,Gift Card,Overnight,10,4
185,3247,18,111,2025-04-04,2025-04-05,2025-04-12,Delivered,Apple Pay,Express,20,4
186,425,20,93,2022-11-12,2022-11-16,2022-11-28,Delivered,Debit Card,Overnight,5,7
187,4969,29,271,2023-08-02,,,Cancelled,PayPal,Pickup,5,7
188,2553,29,151,2025-09-04,2025-09-10,2025-09-11,Delivered,Gift Card,Pickup,0,7
189,2879,13,174,2024-08-22,,,Processing,PayPal,Express,0,7
190,3710,4,262,2022-04-25,2022-04-29,2022-05-05,Delivered,Debit Card,Pickup,5,4
191,1056,48,290,2024-06-24,2024-06-26,2024-07-02,Delivered,Google Pay,Overnight,5,4
192,4070,1,165,2025-12-09,2025-12-14,,Returned,Debit Card,Pickup,5,2
193,3252,13,7,2023-08-02,,,Processing,PayPal,Pickup,0,7
194,3325,31,41,2024-05-17,2024-05-22,2024-05-27,Delivered,Google Pay,Overnight,10,2
195,2121,17,82,2022-06-23,2022-06-24,2022-06-30,Delivered,Apple Pay,Express,10,9
196,4806,48,40,2023-09-04,2023-09-09,2023-09-11,Delivered,Gift Card,Standard,10,4
197,581,25,197,2025-07-21,2025-07-24,2025-08-03,Delivered,Debit Card,Free Shipping,0,3
198,4119,40,46,2025-04-21,2025-04-22,,Shipped,Google Pay,Pickup,10,2
199,3629,16,4,2022-03-04,2022-03-08,2022-03-16,Delivered,Apple Pay,Overnight,10,8
200,2801,14,121,2025-09-28,2025-10-01,2025-10-11,Delivered,Credit Card,Overnight,0,1
201,3116,26,261,2023-09-09,2023-09-11,,Returned,PayPal,Pickup,25,1
202,832,23,259,2023-09-17,2023-09-21,2023-10-02,Delivered,Gift Card,Free Shipping,10,5
203,2444,14,60,2024-06-17,2024-06-22,2024-06-27,Delivered,Wire Transfer,Free Shipping,0,1
204,1405,38,281,2025-10-15,2025-10-21,2025-10-22,Delivered,Credit Card,Overnight,10,2
205,1785,38,300,2024-04-12,2024-04-19,2024-04-27,Delivered,Debit Card,Free Shipping,0,2
206,4403,6,252,2025-07-15,2025-07-18,2025-07-24,Delivered,Wire Transfer,Standard,10,6
207,704,42,144,2022-03-17,2022-03-24,2022-03-28,Delivered,Google Pay,Express,0,8
208,276,13,134,2024-03-25,2024-03-28,2024-04-03,Delivered,Debit Card,Express,10,7
209,4400,23,297,2022-10-24,2022-10-27,,Shipped,Apple Pay,Standard,0,5
210,1549,7,238,2023-05-04,,,Cancelled,Debit Card,Free Shipping,0,6
211,4880,1,245,2023-10-04,2023-10-10,2023-10-11,Delivered,Gift Card,Standard,0,2
212,3139,25,219,2024-01-16,2024-01-23,2024-01-28,Delivered,Debit Card,Overnight,0,3
213,1194,25,251,2025-10-24,2025-10-26,2025-10-30,Delivered,Apple Pay,Overnight,10,3
214,550,16,242,2024-10-18,2024-10-22,2024-10-23,Delivered,PayPal,Express,15,8
215,2850,22,80,2022-10-22,2022-10-28,2022-11-01,Delivered,Wire Transfer,Standard,25,5
216,1112,39,168,2025-10-12,,,Processing,Wire Transfer,Overnight,10,7
217,3782,17,279,2025-02-05,2025-02-07,2025-02-13,Delivered,Apple Pay,Express,0,9
218,4778,28,208,2025-12-08,,,Processing,Credit Card,Standard,5,3
219,1577,47,104,2025-10-05,2025-10-12,2025-10-23,Delivered,PayPal,Standard,0,2
220,3789,29,11,2025-07-22,2025-07-25,2025-07-31,Delivered,Apple Pay,Express,25,7
221,2766,5,46,2025-02-18,2025-02-20,2025-03-02,Delivered,Apple Pay,Overnight,10,1
222,353,39,274,2022-09-12,2022-09-16,2022-09-28,Delivered,Wire Transfer,Express,25,7
223,3670,14,53,2024-12-13,,,Pending,Credit Card,Overnight,10,1
224,3895,26,280,2024-01-11,,,Pending,Wire Transfer,Pickup,5,1
225,194,38,37,2025-08-21,2025-08-22,,Returned,PayPal,Free Shipping,10,2
226,2184,13,211,2023-10-06,2023-10-07,2023-10-12,Delivered,Credit Card,Pickup,0,7
227,3109,32,1,2025-09-27,2025-10-02,2025-10-10,Delivered,Credit Card,Express,15,4
228,2294,48,114,2022-06-22,2022-06-23,2022-07-07,Delivered,Gift Card,Express,0,4
229,3706,10,23,2025-03-07,2025-03-11,,Shipped,Wire Transfer,Standard,10,5
230,2054,22,22,2024-11-11,2024-11-13,2024-11-18,Delivered,Debit Card,Express,10,5
231,2365,13,260,2024-04-25,2024-04-26,2024-04-27,Delivered,Debit Card,Pickup,0,7
232,120,10,69,2024-09-09,2024-09-12,2024-09-13,Delivered,Wire Transfer,Pickup,10,5
233,4673,47,105,2025-06-20,2025-06-24,2025-06-26,Delivered,Apple Pay,Pickup,10,2
234,581,35,122,2024-12-09,2024-12-13,2024-12-26,Delivered,Credit Card,Free Shipping,0,8
235,1727,19,91,2023-09-13,,,Processing,Google Pay,Express,0,2
236,3436,9,222,2022-02-08,,,Cancelled,Credit Card,Express,0,6
237,4181,16,214,2023-10-16,2023-10-18,2023-10-25,Delivered,Gift Card,Express,0,8
238,2423,46,22,2025-06-22,2025-06-26,2025-07-08,Delivered,Apple Pay,Express,5,8
239,2891,12,1,2023-10-17,2023-10-20,,Shipped,Google Pay,Express,5,2
240,2228,46,197,2025-12-07,2025-12-14,2025-12-16,Delivered,PayPal,Express,0,8
241,2040,50,118,2023-12-16,2023-12-23,2024-01-02,Delivered,PayPal,Standard,20,9
242,1757,50,148,2023-03-06,2023-03-08,,Shipped,PayPal,Pickup,0,9
243,2523,45,238,2024-10-08,2024-10-10,2024-10-24,Delivered,PayPal,Standard,10,1
244,4513,15,192,2024-10-07,2024-10-11,,Shipped,PayPal,Express,0,4
245,2948,43,245,2024-10-21,,,Cancelled,Google Pay,Standard,0,7
246,1137,11,123,2022-05-21,2022-05-24,2022-06-02,Delivered,Google Pay,Overnight,5,6
247,3589,11,226,2023-12-16,2023-12-18,,Shipped,Gift Card,Express,10,6
248,4785,24,134,2024-01-03,2024-01-08,2024-01-22,Delivered,Wire Transfer,Overnight,0,5
249,2035,21,21,2024-06-25,2024-07-01,2024-07-11,Delivered,Google Pay,Express,0,1
250,4101,12,96,2024-02-13,2024-02-19,2024-03-04,Delivered,Wire Transfer,Standard,0,2
251,3547,50,7,2025-10-21,2025-10-24,2025-11-04,Delivered,Credit Card,Standard,0,9
252,260,27,156,2023-04-03,2023-04-07,,Shipped,Gift Card,Free Shipping,5,2
253,1767,14,38,2025-12-02,2025-12-07,2025-12-14,Delivered,Credit Card,Express,0,1
254,1785,36,213,2023-04-25,2023-04-27,2023-05-09,Delivered,Apple Pay,Overnight,0,7
255,1637,50,190,2022-11-14,2022-11-17,2022-11-21,Delivered,Credit Card,Express,0,9
256,4497,11,162,2024-12-07,2024-12-08,2024-12-18,Delivered,Gift Card,Pickup,0,6
257,2016,17,220,2025-09-12,2025-09-13,2025-09-25,Delivered,Debit Card,Overnight,30,9
258,3946,46,231,2024-05-15,2024-05-16,2024-05-23,Delivered,Gift Card,Pickup,5,8
259,4047,37,257,2024-08-28,2024-09-01,2024-09-12,Delivered,Apple Pay,Free Shipping,10,1
260,3860,41,8,2024-11-04,2024-11-07,,Shipped,Credit Card,Overnight,5,9
261,1124,24,249,2022-06-04,2022-06-08,2022-06-13,Delivered,Gift Card,Standard,10,5
262,4434,50,5,2025-09-22,2025-09-23,,Returned,Gift Card,Express,5,9
263,373,42,299,2022-04-19,2022-04-20,2022-05-02,Delivered,PayPal,Standard,25,8
264,1687,47,118,2024-08-09,2024-08-11,2024-08-13,Delivered,PayPal,Overnight,0,2
265,3479,46,164,2024-10-18,2024-10-22,2024-10-29,Delivered,Apple Pay,Pickup,0,8
266,472,31,191,2023-05-03,2023-05-04,2023-05-14,Delivered,PayPal,Express,0,2
267,1722,45,189,2025-02-18,2025-02-19,2025-02-25,Delivered,Credit Card,Pickup,0,1
268,4715,46,285,2022-08-07,2022-08-12,2022-08-16,Delivered,Credit Card,Pickup,0,8
269,3283,47,188,2022-12-09,2022-12-13,,Returned,PayPal,Overnight,0,2
270,733,23,254,2023-02-03,2023-02-04,,Shipped,PayPal,Standard,5,5
271,1410,10,291,2024-11-10,,,Cancelled,Apple Pay,Standard,5,5
272,3380,36,263,2025-03-08,2025-03-12,2025-03-13,Delivered,Credit Card,Free Shipping,0,7
273,4070,24,81,2025-11-19,2025-11-22,,Returned,Credit Card,Free Shipping,15,5
274,1450,15,19,2024-04-20,2024-04-26,2024-04-28,Delivered,Google Pay,Express,30,4
275,1890,1,204,2024-08-10,2024-08-13,2024-08-25,Delivered,PayPal,Free Shipping,10,2
276,1269,14,223,2023-05-23,2023-05-24,2023-05-27,Delivered,PayPal,Express,5,1
277,2067,34,116,2024-07-13,2024-07-16,2024-07-25,Delivered,Credit Card,Standard,0,8
278,3559,22,169,2024-09-23,2024-09-25,2024-10-09,Delivered,Credit Card,Pickup,0,5
279,1275,28,148,2024-08-15,2024-08-16,2024-08-17,Delivered,Google Pay,Express,5,3
280,593,34,209,2025-08-21,2025-08-27,2025-09-08,Delivered,Debit Card,Express,20,8
281,2313,15,178,2022-09-06,2022-09-13,2022-09-20,Delivered,Wire Transfer,Pickup,0,4
282,4206,50,241,2025-07-05,2025-07-08,2025-07-20,Delivered,Debit Card,Pickup,0,9
283,1275,22,165,2024-11-28,2024-12-03,2024-12-10,Delivered,Credit Card,Standard,15,5
284,2416,22,219,2022-05-19,2022-05-23,,Shipped,Apple Pay,Express,0,5
285,1862,34,14,2025-05-07,2025-05-12,2025-05-23,Delivered,Credit Card,Pickup,25,8
286,4383,12,7,2024-10-01,2024-10-04,2024-10-10,Delivered,Gift Card,Standard,0,2
287,2893,21,204,2022-10-07,,,Processing,Debit Card,Overnight,10,1
288,2242,31,208,2024-09-02,2024-09-05,2024-09-12,Delivered,PayPal,Standard,20,2
289,2098,9,95,2025-11-09,2025-11-10,2025-11-17,Delivered,Credit Card,Express,0,6
290,4215,11,271,2024-12-03,2024-12-10,2024-12-21,Delivered,Gift Card,Overnight,5,6
291,1297,8,26,2024-07-20,,,Pending,Credit Card,Pickup,0,7
292,1099,40,212,2022-03-16,2022-03-19,2022-03-25,Delivered,Gift Card,Standard,0,2
293,2481,32,92,2025-06-24,2025-06-27,2025-07-11,Delivered,Gift Card,Express,5,4
294,3890,4,158,2025-09-13,,,Pending,Google Pay,Standard,0,4
