ticket_id,customer_id,category,priority,status,created_date,resolved_date,days_to_resolve,satisfaction_score,agent_id
201,3608,Shipping,High,Resolved,3/24/2025,4/19/2025,26,5,60
202,64,Account Issue,Medium,In Progress,10/9/2024,10/13/2024,4,4,16
203,2406,Return Request,Low,Resolved,3/18/2025,4/9/2025,22,1,124
204,4069,Technical Support,High,Escalated,7/22/2025,,,,275
205,845,Account Issue,Low,Escalated,1/21/2025,2/13/2025,23,4,174
206,432,Shipping,Medium,Escalated,6/27/2024,6/29/2024,2,4,69
207,2999,Return Request,High,Escalated,2/18/2026,3/15/2026,25,5,195
208,2802,Shipping,High,In Progress,10/14/2024,11/8/2024,25,3,62
209,2369,Account Issue,Medium,Closed,5/16/2026,5/20/2026,4,1,114
210,1292,General Inquiry,High,In Progress,8/12/2024,8/27/2024,15,4,160
211,3061,Return Request,Medium,Closed,4/16/2025,,,,37
212,2761,Billing,Medium,Resolved,2/9/2025,2/28/2025,19,3,168
213,437,Billing,High,Resolved,10/9/2025,11/3/2025,25,1,181
214,695,Product Defect,Medium,Resolved,5/6/2025,5/23/2025,17,4,180
215,275,Account Issue,Low,Open,10/21/2025,10/21/2025,0,2,287
216,487,Return Request,Low,Escalated,5/23/2025,6/5/2025,13,2,239
217,2498,Technical Support,Medium,Open,9/12/2024,9/21/2024,9,4,28
218,1386,Shipping,Low,Escalated,6/5/2025,6/9/2025,4,1,202
219,2574,Product Defect,High,Resolved,9/13/2024,,,,34
220,2699,Return Request,High,In Progress,2/2/2025,2/19/2025,17,1,267
221,3592,Shipping,Medium,Resolved,12/16/2024,1/12/2025,27,3,226
222,3660,Return Request,Medium,Resolved,3/30/2026,4/14/2026,15,5,188
223,1691,Billing,Low,Resolved,12/29/2025,1/8/2026,10,4,270
224,797,Product Defect,Medium,Escalated,10/29/2025,11/7/2025,9,3,187
225,3010,Return Request,Low,Closed,9/20/2024,10/19/2024,29,3,20
226,356,Product Defect,Low,Closed,6/25/2024,6/29/2024,4,5,238
227,3122,Product Defect,High,Resolved,5/15/2025,5/18/2025,3,4,86
228,784,Account Issue,Critical,In Progress,4/3/2025,4/27/2025,24,2,289
229,4564,Technical Support,High,Escalated,8/28/2025,,,,95
230,980,Return Request,High,In Progress,12/28/2024,,,,92
231,4349,Product Defect,Medium,Closed,5/6/2025,5/29/2025,23,5,266
232,4899,Product Defect,Low,Resolved,1/23/2026,1/24/2026,1,4,169
233,2013,Shipping,Low,Open,10/1/2024,10/26/2024,25,1,195
234,1341,Product Defect,Medium,In Progress,4/4/2026,4/14/2026,10,1,171
235,2908,General Inquiry,Low,Open,5/18/2026,,,,152
236,3494,Shipping,Medium,Open,4/4/2025,4/6/2025,2,3,216
237,2592,Return Request,Medium,Escalated,8/9/2025,,,,137
238,1696,Return Request,Medium,Open,6/4/2025,6/22/2025,18,3,97
239,605,Return Request,Medium,In Progress,10/10/2024,10/16/2024,6,2,46
240,893,Billing,Critical,Resolved,9/10/2024,9/28/2024,18,3,246
241,2744,General Inquiry,Medium,Closed,7/29/2025,7/31/2025,2,1,55
242,307,Account Issue,High,Closed,2/21/2026,3/5/2026,12,2,103
243,521,Shipping,Low,Closed,1/1/2025,1/22/2025,21,5,133
244,3144,Shipping,Low,Open,7/16/2025,7/21/2025,5,5,30
245,4981,Return Request,Medium,Open,6/10/2024,6/19/2024,9,2,65
246,2691,Shipping,Medium,Open,6/8/2025,6/15/2025,7,3,90
247,3463,Account Issue,Low,Open,2/19/2025,2/28/2025,9,1,295
248,2897,Billing,Low,Open,12/11/2025,12/28/2025,17,2,244
249,1626,Product Defect,Low,Closed,11/8/2025,,,,172
250,591,Account Issue,Medium,Closed,3/1/2025,,,,212
251,2697,Shipping,High,Open,9/25/2024,10/18/2024,23,2,285
252,4343,Billing,Low,Escalated,11/27/2025,12/21/2025,24,4,237
253,1367,General Inquiry,Medium,Resolved,11/2/2025,11/11/2025,9,5,227
254,105,Technical Support,High,Open,7/29/2024,8/27/2024,29,1,93
255,4076,Billing,Critical,Escalated,4/14/2025,,,,42
256,3572,Return Request,Medium,In Progress,12/17/2024,1/4/2025,18,2,67
257,1424,Shipping,Low,Escalated,3/6/2026,3/7/2026,1,4,38
258,4198,Billing,Critical,Escalated,7/7/2025,7/13/2025,6,2,44
259,3590,Product Defect,Medium,Closed,6/25/2024,7/5/2024,10,3,279
260,925,General Inquiry,Medium,In Progress,6/29/2024,,,,159
261,2056,Product Defect,Medium,Resolved,7/1/2025,7/20/2025,19,5,92
262,2799,Return Request,Low,Open,4/14/2026,5/13/2026,29,5,178
263,4699,General Inquiry,Medium,Open,8/21/2025,,,,282
264,3819,Account Issue,Medium,Escalated,9/3/2024,9/7/2024,4,3,86
265,3772,Account Issue,High,Closed,3/31/2025,4/16/2025,16,3,164
266,891,Shipping,High,Open,8/17/2024,8/24/2024,7,5,4
267,2288,Product Defect,Medium,Escalated,6/15/2025,,,,29
268,194,Technical Support,High,Closed,9/3/2025,,,,279
269,2936,Billing,High,Open,3/24/2026,3/29/2026,5,1,41
270,604,Return Request,Medium,Escalated,8/18/2024,8/20/2024,2,1,156
271,2204,Product Defect,Critical,Open,7/27/2025,8/9/2025,13,4,114
272,192,Technical Support,Critical,In Progress,6/7/2025,,,,144
273,852,Shipping,Low,Open,6/26/2025,7/16/2025,20,4,249
274,3885,General Inquiry,Medium,Open,9/18/2025,,,,53
275,4810,Shipping,Critical,Resolved,7/15/2025,7/24/2025,9,3,267
276,3762,Return Request,Medium,In Progress,11/17/2024,12/1/2024,14,4,86
277,2942,Billing,Medium,Escalated,4/23/2026,5/16/2026,23,1,255
278,3402,Product Defect,Low,Closed,10/3/2025,10/15/2025,12,3,188
279,1681,Account Issue,Critical,Resolved,6/23/2024,7/4/2024,11,1,73
280,201,Return Request,Medium,Resolved,3/26/2025,4/3/2025,8,1,43
281,402,Billing,Low,Resolved,9/20/2025,10/14/2025,24,3,153
282,354,Account Issue,Medium,Escalated,8/29/2025,9/9/2025,11,3,116
283,4060,Return Request,Medium,Closed,10/8/2025,10/23/2025,15,5,5
284,2381,Billing,High,Resolved,5/18/2026,6/2/2026,15,4,108
285,2491,Product Defect,Critical,Resolved,12/24/2025,12/25/2025,1,2,146
286,2683,Account Issue,Low,Open,11/24/2025,12/13/2025,19,2,181
287,341,Return Request,Medium,Escalated,11/1/2024,11/7/2024,6,2,209
288,4635,Billing,Low,Resolved,12/2/2025,12/16/2025,14,4,174
289,4462,Product Defect,Medium,In Progress,5/17/2025,5/20/2025,3,5,256
290,3891,General Inquiry,Low,In Progress,1/15/2025,1/16/2025,1,2,4
291,4553,Return Request,Medium,Closed,7/8/2025,7/31/2025,23,3,76
292,3974,Return Request,Low,In Progress,11/9/2025,,,,263
293,1255,Account Issue,Critical,Closed,7/28/2025,7/30/2025,2,5,170
294,2595,Return Request,Medium,Escalated,8/7/2024,8/19/2024,12,2,190
295,2334,Account Issue,Medium,Resolved,4/15/2026,,,,91
296,3502,Account Issue,Low,In Progress,1/26/2026,2/17/2026,22,4,163
297,262,Account Issue,High,Closed,5/11/2025,6/5/2025,25,4,298
298,3838,Account Issue,Medium,Escalated,9/26/2024,10/2/2024,6,3,42
299,1298,Account Issue,Medium,Resolved,1/31/2025,2/8/2025,8,3,188
300,539,Shipping,High,Open,12/21/2024,1/10/2025,20,2,31
301,2728,Account Issue,Low,Resolved,3/24/2026,4/8/2026,15,5,71
302,3094,Return Request,Low,Closed,4/9/2025,5/3/2025,24,2,173
303,4859,Product Defect,Low,Closed,6/21/2024,7/16/2024,25,4,31
304,3386,Shipping,Low,Resolved,10/8/2025,,,,256
305,3345,Return Request,Low,Closed,4/26/2026,5/21/2026,25,5,224
306,468,Product Defect,High,Escalated,12/31/2025,1/29/2026,29,1,153
307,229,General Inquiry,Low,Resolved,12/18/2024,1/14/2025,27,1,137
308,4768,Product Defect,Medium,Resolved,3/30/2026,4/14/2026,15,2,136
309,3626,Account Issue,Medium,In Progress,6/1/2026,,,,248
310,1161,Shipping,Medium,Escalated,8/27/2025,,,,236
311,4561,General Inquiry,Low,Resolved,11/16/2024,12/4/2024,18,1,99
312,3740,Return Request,Low,In Progress,4/11/2026,4/26/2026,15,1,112
313,1163,Return Request,Medium,Escalated,7/27/2025,7/31/2025,4,1,222
314,2491,Account Issue,Medium,Open,7/30/2024,8/15/2024,16,2,178
315,2593,Return Request,Medium,Open,8/26/2025,9/25/2025,30,5,134
316,790,Return Request,Low,Resolved,1/15/2025,2/2/2025,18,3,10
317,4459,Product Defect,Low,Open,9/1/2025,9/18/2025,17,1,292
318,92,General Inquiry,Medium,Escalated,7/5/2024,7/5/2024,0,4,209
319,1963,Shipping,Critical,Closed,6/26/2024,7/15/2024,19,5,280
320,1685,General Inquiry,Medium,Resolved,12/21/2025,12/29/2025,8,5,221
321,3295,Shipping,Medium,Open,4/6/2026,4/17/2026,11,4,152
322,1497,General Inquiry,Low,Resolved,11/7/2025,,,,65
323,419,Account Issue,Low,Resolved,7/21/2025,8/7/2025,17,5,245
324,3210,Technical Support,Low,Escalated,1/4/2026,1/11/2026,7,4,209
325,2163,Product Defect,Low,Closed,9/5/2024,,,,39
326,2108,Technical Support,High,In Progress,2/1/2025,2/20/2025,19,4,244
327,2095,General Inquiry,High,Open,10/8/2025,11/2/2025,25,5,215
328,2108,Account Issue,High,Resolved,10/22/2025,11/20/2025,29,4,272
329,3291,Shipping,Medium,Open,8/6/2025,9/4/2025,29,3,184
330,2872,Product Defect,High,Closed,5/5/2026,,,,265
331,2074,General Inquiry,Low,Resolved,12/30/2025,1/13/2026,14,4,143
332,2375,Return Request,Medium,In Progress,6/5/2026,6/19/2026,14,1,66
333,532,General Inquiry,Medium,Open,7/25/2025,,,,131
334,777,Account Issue,Low,Open,8/6/2025,,,,300
335,1523,General Inquiry,Medium,In Progress,10/25/2024,11/17/2024,23,1,286
336,515,Technical Support,Low,Open,10/30/2024,11/21/2024,22,5,167
337,2278,General Inquiry,Low,Open,1/18/2025,2/16/2025,29,2,162
338,938,Billing,Medium,Escalated,3/4/2026,,,,115
339,544,Account Issue,Critical,Open,12/14/2025,12/19/2025,5,4,42
340,2723,Product Defect,High,Resolved,10/13/2024,,,,213
341,1642,Return Request,Medium,Open,9/17/2025,10/4/2025,17,5,157
342,1648,Billing,Medium,In Progress,10/30/2025,11/17/2025,18,4,289
343,1895,General Inquiry,Medium,Open,2/15/2026,2/27/2026,12,2,8
344,2075,Technical Support,Critical,In Progress,2/2/2025,2/16/2025,14,5,197
345,4175,Shipping,Low,Escalated,10/3/2025,10/25/2025,22,2,45
346,777,Return Request,High,Closed,2/19/2026,2/22/2026,3,3,167
347,873,General Inquiry,Low,In Progress,10/22/2024,10/31/2024,9,1,160
348,2348,Technical Support,Low,In Progress,10/30/2025,11/10/2025,11,4,290
349,380,General Inquiry,High,Open,3/26/2025,3/26/2025,0,1,190
350,1620,Shipping,Medium,Resolved,9/20/2025,,,,121
351,420,Account Issue,Medium,In Progress,12/13/2025,,,,253
352,3367,Return Request,Low,Closed,9/12/2024,9/26/2024,14,5,287
353,3472,General Inquiry,High,Resolved,3/15/2026,4/8/2026,24,4,259
354,379,Shipping,Medium,In Progress,7/4/2025,8/2/2025,29,1,79
355,3485,Technical Support,High,Escalated,1/23/2026,1/23/2026,0,1,29
356,1065,Product Defect,Medium,Open,10/29/2025,11/27/2025,29,1,202
357,4861,Return Request,Low,Closed,3/22/2026,3/27/2026,5,4,171
358,2785,Shipping,High,Open,4/16/2026,5/15/2026,29,1,252
359,1398,General Inquiry,Medium,Resolved,4/13/2025,5/5/2025,22,5,184
360,4145,Shipping,Low,In Progress,1/30/2025,2/23/2025,24,5,110
361,3626,Shipping,Medium,Resolved,3/2/2026,3/21/2026,19,4,230
362,1905,Billing,Low,Open,3/2/2026,3/14/2026,12,5,11
363,3677,General Inquiry,Medium,Closed,9/24/2025,10/3/2025,9,2,123
364,1920,Product Defect,Low,Closed,9/27/2025,10/11/2025,14,5,227
365,2860,Account Issue,Medium,Open,1/22/2026,2/14/2026,23,2,47
366,875,Return Request,Medium,Closed,8/22/2024,8/25/2024,3,5,46
367,2789,Technical Support,Low,Escalated,2/17/2025,3/7/2025,18,4,222
368,1014,Account Issue,Medium,Open,6/11/2025,,,,295
369,4864,Technical Support,Low,Closed,4/26/2026,5/13/2026,17,2,108
370,4273,Billing,Low,Open,9/30/2024,10/13/2024,13,1,124
371,4728,Return Request,Critical,Escalated,9/19/2025,10/10/2025,21,2,126
372,709,Account Issue,Low,Resolved,1/1/2026,1/11/2026,10,2,234
373,2100,Billing,Low,Escalated,11/21/2024,12/14/2024,23,1,128
374,1737,Return Request,Medium,Escalated,2/3/2025,2/18/2025,15,4,10
375,2773,Product Defect,Low,Resolved,8/4/2024,8/13/2024,9,2,203
376,3888,Return Request,Medium,Open,4/4/2025,,,,48
377,50,Shipping,Low,Open,3/17/2025,4/1/2025,15,4,146
378,2217,Account Issue,Medium,Escalated,3/11/2026,3/18/2026,7,5,255
379,1412,Product Defect,Medium,Open,8/22/2024,8/23/2024,1,5,242
380,3680,Product Defect,Low,Escalated,5/15/2025,5/20/2025,5,4,296
381,1592,Billing,High,Open,3/10/2026,3/28/2026,18,3,269
