inventory_id,product_id,store_id,snapshot_date,qty_on_hand,qty_reserved,reorder_point,reorder_qty
119,281,29,2025-09-01,299,35,30,126
120,816,29,2025-02-01,401,22,31,176
121,967,41,2025-02-01,403,44,24,250
122,875,49,2024-07-01,160,9,27,247
123,1007,11,2024-09-01,149,17,44,223
124,1168,33,2025-11-01,470,26,61,59
125,753,5,2025-12-01,72,37,71,118
126,134,5,2025-12-01,469,20,20,171
127,379,20,2024-01-01,352,49,62,251
128,389,46,2025-01-01,195,37,21,152
129,318,32,2025-05-01,459,3,43,186
130,186,33,2025-01-01,257,7,55,216
131,1168,15,2025-01-01,37,7,71,300
132,242,30,2024-11-01,157,29,60,268
133,943,4,2024-05-01,261,49,32,267
134,809,35,2025-01-01,364,17,66,85
135,1031,14,2024-01-01,175,7,55,248
136,617,39,2024-04-01,214,1,51,92
137,138,48,2025-02-01,268,7,21,266
138,550,38,2025-10-01,337,37,53,71
139,939,29,2025-02-01,195,5,34,59
140,929,1,2024-11-01,357,7,50,266
141,245,49,2025-11-01,227,45,39,140
142,483,11,2025-10-01,43,47,39,273
143,178,4,2024-03-01,236,40,46,135
144,401,47,2025-01-01,409,3,20,200
145,362,50,2025-01-01,163,39,34,184
146,235,11,2025-05-01,136,33,46,156
147,803,31,2025-06-01,184,46,19,207
148,501,25,2024-01-01,291,27,61,275
149,567,17,2025-01-01,113,2,44,195
150,138,50,2025-02-01,312,48,21,228
151,716,38,2024-09-01,402,6,70,159
152,852,16,2024-11-01,99,13,50,100
153,1068,37,2025-03-01,27,50,11,193
154,1113,20,2024-09-01,177,7,19,90
155,250,22,2025-07-01,167,1,71,82
156,289,28,2025-04-01,186,9,33,133
157,356,50,2024-11-01,45,19,26,85
158,720,24,2025-04-01,478,19,64,182
159,824,12,2024-07-01,239,32,59,125
160,305,22,2025-02-01,359,0,14,270
161,166,12,2025-06-01,57,30,33,299
162,38,21,2024-07-01,221,11,48,167
163,344,23,2025-11-01,15,21,28,55
164,1163,47,2024-09-01,96,47,20,283
165,91,30,2025-03-01,78,6,30,64
166,779,38,2025-09-01,7,42,55,99
167,991,43,2025-06-01,391,33,38,117
168,490,41,2024-01-01,229,49,30,84
169,228,8,2025-12-01,139,26,19,300
170,1045,10,2024-05-01,419,43,26,291
171,490,48,2025-03-01,233,1,24,292
172,514,27,2024-07-01,186,32,77,130
173,345,6,2025-07-01,377,42,61,271
174,227,47,2025-11-01,38,6,70,267
175,991,7,2025-02-01,229,14,29,78
176,438,17,2025-09-01,332,15,48,165
177,519,30,2024-08-01,438,22,42,131
178,967,19,2025-10-01,440,15,27,82
179,281,48,2025-10-01,337,44,53,164
180,621,39,2024-08-01,406,27,59,239
181,584,40,2025-08-01,115,21,21,278
182,1149,31,2025-02-01,262,2,72,261
183,277,43,2025-03-01,399,29,22,80
184,1194,38,2024-12-01,416,12,34,193
185,454,20,2025-05-01,240,17,60,194
186,873,39,2024-10-01,419,23,74,82
187,904,48,2024-08-01,377,29,39,228
188,1040,8,2024-12-01,426,44,11,242
189,715,24,2025-02-01,439,49,80,129
190,640,22,2025-01-01,140,6,47,268
191,1202,37,2025-07-01,10,9,42,291
192,235,37,2025-07-01,12,1,38,124
193,1021,19,2024-07-01,257,2,36,198
194,132,27,2024-05-01,200,33,22,240
195,1202,9,2025-03-01,238,35,45,233
196,407,38,2024-08-01,23,24,75,293
197,760,50,2025-03-01,436,28,12,284
198,810,8,2025-02-01,449,48,62,288
199,747,1,2025-04-01,400,22,77,227
200,421,31,2024-10-01,233,15,21,65
201,365,38,2024-01-01,103,21,30,98
202,52,16,2024-11-01,433,5,62,192
203,1194,21,2025-05-01,421,40,44,70
204,767,23,2024-09-01,109,10,40,71
205,179,24,2025-01-01,58,14,22,119
206,142,23,2025-09-01,81,45,77,221
207,230,26,2024-06-01,165,19,64,124
208,432,11,2025-03-01,47,47,32,116
209,544,22,2025-12-01,316,3,33,259
210,147,46,2024-07-01,326,15,51,66
211,1080,37,2025-08-01,361,22,52,150
212,295,12,2025-12-01,421,38,32,190
213,974,15,2025-07-01,413,34,43,185
214,539,44,2024-05-01,26,17,16,78
215,847,10,2025-09-01,247,47,36,106
216,495,1,2024-01-01,285,7,56,82
217,1208,44,2024-04-01,156,34,55,191
218,959,23,2024-06-01,178,20,14,171
219,1067,11,2025-12-01,231,3,51,224
220,488,27,2024-03-01,222,1,15,54
221,72,16,2024-06-01,305,35,44,156
222,52,18,2025-10-01,2,6,43,53
223,640,1,2024-05-01,197,4,31,208
224,249,29,2024-12-01,390,18,76,116
225,51,28,2025-11-01,140,19,63,138
226,1142,25,2024-10-01,229,13,53,233
227,194,22,2024-09-01,310,32,27,145
228,43,19,2025-06-01,456,46,30,146
229,710,18,2025-12-01,142,20,23,167
230,1062,1,2024-11-01,368,23,47,117
231,367,23,2025-02-01,68,4,62,269
232,930,13,2025-07-01,144,33,17,225
233,52,4,2024-10-01,213,18,42,95
234,196,30,2024-05-01,387,1,17,95
235,891,34,2024-05-01,407,4,22,206
236,543,41,2024-11-01,360,5,41,164
237,809,8,2025-08-01,370,3,77,221
238,106,11,2025-09-01,224,7,54,77
239,527,21,2024-01-01,488,35,20,73
240,384,49,2025-05-01,207,32,11,297
241,600,8,2024-09-01,1,1,42,147
242,81,37,2025-05-01,327,7,70,53
243,1147,7,2025-04-01,12,2,67,214
244,1117,15,2024-08-01,174,2,33,145
245,98,13,2025-01-01,250,7,57,76
246,1049,50,2025-10-01,385,13,27,140
247,1045,42,2024-05-01,172,36,57,174
248,849,34,2025-03-01,29,6,47,92
249,602,26,2025-09-01,227,23,12,236
250,305,23,2025-08-01,463,30,73,286
251,530,46,2024-02-01,345,24,44,266
252,1063,19,2024-09-01,186,14,13,221
253,532,44,2024-04-01,495,39,15,216
254,448,4,2024-05-01,407,36,75,82
255,738,23,2024-07-01,265,42,35,141
256,552,10,2025-04-01,224,35,11,243
257,1080,32,2025-03-01,440,27,56,230
258,722,43,2024-02-01,199,0,13,194
259,634,29,2024-05-01,121,40,67,263
260,322,41,2024-08-01,208,21,48,144
261,1060,9,2024-04-01,264,28,37,283
262,171,10,2025-11-01,199,32,56,200
263,88,1,2024-09-01,434,36,22,82
264,186,38,2025-09-01,188,14,19,219
265,206,24,2024-09-01,298,18,67,273
266,943,20,2024-03-01,238,1,52,133
267,1042,12,2025-10-01,258,36,66,200
268,324,31,2025-03-01,427,46,38,131
269,404,21,2024-11-01,405,2,54,143
270,308,48,2025-02-01,431,48,63,96
271,104,37,2024-02-01,273,35,23,84
272,603,37,2024-01-01,438,22,51,208
273,1180,6,2024-01-01,315,39,10,149
274,61,48,2024-03-01,474,25,54,187
275,568,10,2024-06-01,490,16,60,147
276,378,20,2025-04-01,436,5,15,168
277,389,12,2025-04-01,311,31,11,147
278,97,13,2024-01-01,38,9,20,166
279,121,36,2024-09-01,268,15,71,92
280,700,44,2025-08-01,42,29,48,244
281,1140,36,2025-05-01,191,45,41,286
282,1083,11,2024-06-01,328,42,72,281
283,298,6,2024-03-01,239,16,29,123
284,648,12,2024-06-01,131,1,60,132
285,841,11,2025-09-01,460,29,62,228
286,822,22,2024-10-01,8,32,44,223
287,200,45,2025-02-01,137,40,45,282
288,521,22,2025-10-01,109,25,47,262
289,687,33,2025-10-01,125,6,11,294
290,918,26,2025-06-01,244,23,13,106
291,391,26,2025-04-01,77,19,71,160
292,81,37,2024-10-01,173,33,60,250
293,184,43,2024-12-01,227,38,33,78
294,164,32,2024-02-01,256,9,67,74
295,972,9,2024-09-01,389,34,50,215
296,834,44,2024-05-01,44,10,45,152
297,219,47,2025-01-01,178,5,28,166
298,869,42,2024-06-01,481,1,42,141
299,879,27,2025-11-01,111,33,59,151
300,656,20,2025-04-01,466,25,67,248
301,317,24,2025-10-01,46,14,56,244
302,507,26,2025-01-01,131,25,41,108
303,758,15,2024-11-01,362,25,79,144
304,110,8,2024-07-01,307,46,27,70
305,89,22,2024-09-01,290,5,29,238
306,67,48,2025-06-01,246,17,80,297
307,188,38,2025-01-01,415,7,50,223
308,97,6,2025-04-01,105,49,53,75
309,177,21,2025-06-01,196,1,40,178
310,1105,41,2025-02-01,370,8,60,208
311,549,30,2024-04-01,445,46,77,264
312,560,36,2024-06-01,361,33,15,244
313,198,26,2025-05-01,62,17,31,81
314,456,39,2024-11-01,235,4,74,97
315,131,38,2024-02-01,155,7,61,157
316,375,50,2025-03-01,467,14,64,123
317,51,7,2024-06-01,216,50,28,185
318,272,22,2025-07-01,203,12,57,229
319,16,44,2024-07-01,243,45,32,110
320,455,23,2024-10-01,156,16,75,208
321,897,21,2025-03-01,297,40,39,113
322,452,16,2025-03-01,64,15,63,121
323,76,27,2024-06-01,374,19,42,244
324,1010,38,2025-11-01,86,20,35,297
325,68,26,2024-03-01,463,0,74,242
326,961,13,2024-03-01,250,23,16,76
327,158,22,2025-01-01,176,36,72,177
328,805,16,2025-04-01,468,6,78,265
329,833,1,2024-11-01,18,9,56,199
330,641,1,2025-03-01,126,12,74,118
331,769,6,2025-10-01,205,40,13,86
332,110,9,2025-08-01,184,37,16,296
333,588,6,2024-07-01,54,10,80,159
334,819,7,2025-05-01,313,18,51,280
335,1085,6,2024-08-01,317,1,49,93
336,862,38,2025-10-01,6,14,35,103
337,1015,49,2025-07-01,288,45,68,159
338,157,26,2025-05-01,60,1,49,86
339,239,11,2024-11-01,371,11,59,163
340,73,17,2024-01-01,303,18,77,179
341,228,38,2024-07-01,7,7,17,99
342,839,28,2025-09-01,8,0,65,115
343,1010,34,2024-07-01,24,1,25,180
344,983,33,2024-08-01,91,29,51,227
345,509,7,2024-01-01,31,12,18,74
346,1000,27,2024-05-01,206,14,63,283
347,320,27,2024-04-01,441,32,39,211
348,1014,44,2024-08-01,29,21,59,297
349,929,41,2025-10-01,22,37,78,66
350,474,8,2024-06-01,449,36,45,188
351,116,20,2025-06-01,36,8,53,230
352,400,33,2025-06-01,433,11,21,254
353,455,18,2025-10-01,286,36,40,266
354,1072,38,2025-04-01,316,5,78,142
355,160,29,2025-03-01,68,12,73,294
356,690,40,2024-05-01,19,47,57,230
357,706,18,2025-06-01,95,10,70,247
358,886,23,2025-01-01,92,7,36,172
359,325,35,2024-10-01,30,42,72,226
360,1071,39,2025-11-01,380,39,63,154
361,964,42,2024-04-01,374,26,15,269
362,610,8,2024-09-01,312,1,49,283
363,95,32,2025-07-01,179,7,76,170
364,1211,19,2025-08-01,261,28,45,257
365,299,15,2024-08-01,484,28,56,264
366,198,11,2025-10-01,429,15,42,233
367,338,10,2024-09-01,240,35,34,105
368,374,48,2025-11-01,466,31,23,119
369,813,28,2025-08-01,326,4,72,219
370,778,31,2024-03-01,39,49,38,167
371,1080,21,2024-03-01,241,23,49,237
372,421,10,2024-02-01,453,38,24,148
373,1070,19,2024-06-01,249,15,69,224
374,722,17,2024-02-01,45,8,30,268
375,126,5,2024-01-01,199,4,23,89
376,866,50,2024-10-01,422,14,66,189
377,802,31,2024-04-01,364,37,48,189
378,775,8,2025-05-01,482,1,20,285
379,79,14,2024-10-01,287,3,80,109
380,1069,1,2025-03-01,214,36,14,290
381,266,36,2024-03-01,316,2,23,136
382,30,18,2024-08-01,247,37,38,79
383,91,19,2025-05-01,381,5,12,123
384,601,45,2024-10-01,493,50,19,222
385,540,44,2024-03-01,470,31,39,242
386,982,46,2025-12-01,64,11,75,91
387,1020,17,2024-12-01,221,12,26,58
388,34,38,2024-05-01,45,2,34,79
389,343,15,2025-11-01,254,12,64,215
390,111,8,2025-07-01,435,44,50,83
391,594,4,2024-12-01,421,37,52,84
392,89,18,2024-12-01,154,15,39,283
393,633,25,2024-12-01,422,13,12,221
394,743,45,2025-06-01,88,5,48,138
395,126,34,2024-12-01,148,1,60,66
396,206,19,2025-01-01,489,1,24,164
397,80,6,2025-07-01,319,40,43,60
398,4,20,2025-06-01,500,12,11,156
399,1077,34,2025-03-01,175,6,50,260
400,597,37,2025-10-01,209,10,68,290
401,969,35,2024-09-01,173,33,36,81
402,1001,15,2024-09-01,161,33,80,154
403,856,41,2024-11-01,181,7,62,110
404,533,10,2025-08-01,73,38,13,160
405,729,5,2025-01-01,12,28,28,50
406,421,40,2024-07-01,270,45,66,296
407,387,16,2024-06-01,156,42,42,138
408,420,47,2024-04-01,153,14,49,290
409,164,33,2025-02-01,322,33,24,245
410,957,25,2024-06-01,147,10,25,55
411,673,5,2024-06-01,429,34,71,143
412,389,12,2024-06-01,234,45,67,234
413,392,42,2024-12-01,249,24,63,230
414,817,34,2024-03-01,462,21,17,205
415,1036,4,2025-06-01,320,28,38,111
416,296,46,2025-09-01,313,22,21,167
417,474,9,2025-09-01,491,50,35,142
418,254,28,2025-10-01,481,6,25,283
419,434,39,2024-05-01,454,43,27,191
420,855,50,2024-09-01,146,9,43,89
421,495,4,2025-11-01,50,7,62,169
422,193,4,2025-11-01,17,44,15,292
423,822,19,2024-08-01,238,33,47,68
424,422,35,2025-09-01,277,8,57,278
425,212,44,2025-05-01,124,8,10,240
426,237,47,2025-06-01,481,3,48,212
427,432,22,2025-07-01,390,17,67,281
428,434,14,2025-12-01,333,27,49,107
429,481,9,2024-10-01,225,5,60,143
430,355,16,2024-07-01,230,23,46,96
431,159,24,2024-04-01,370,35,26,257
432,106,8,2024-07-01,26,4,40,287
433,1044,37,2025-07-01,364,2,41,233
434,135,10,2024-09-01,10,23,40,188
435,345,46,2025-03-01,437,2,30,114
436,1085,31,2024-10-01,471,21,69,91
437,1,4,2024-08-01,30,29,39,212
438,986,46,2025-09-01,322,42,78,248
439,482,11,2024-01-01,450,32,43,202
440,820,23,2025-08-01,79,6,31,258
441,212,26,2025-08-01,176,42,59,166
442,70,22,2024-06-01,336,11,54,187
443,639,10,2024-02-01,477,32,17,140
444,259,41,2024-04-01,479,42,42,278
445,159,24,2025-08-01,174,19,65,56
446,366,43,2024-07-01,326,49,71,279
447,1148,48,2024-06-01,354,25,59,144
448,145,49,2024-04-01,240,35,51,233
449,550,50,2024-11-01,192,36,44,64
450,250,41,2024-10-01,424,19,65,86
451,1003,31,2024-03-01,325,24,69,51
452,75,18,2025-05-01,475,6,72,195
453,443,20,2024-03-01,365,26,77,55
454,863,29,2025-06-01,383,26,33,283
455,1041,16,2025-03-01,141,41,60,267
456,426,28,2024-08-01,159,33,17,124
457,485,4,2025-04-01,437,25,23,67
458,240,35,2024-02-01,154,26,68,245
459,567,13,2025-03-01,210,41,40,66
460,475,32,2025-04-01,490,6,16,190
461,31,45,2025-02-01,459,20,67,206
462,1072,4,2024-01-01,480,31,27,201
463,52,24,2025-11-01,343,11,24,204
464,692,23,2024-10-01,292,14,76,169
465,64,7,2024-03-01,261,29,74,58
466,1163,11,2024-10-01,204,1,68,191
467,1216,47,2024-07-01,332,14,71,50
468,157,31,2025-10-01,117,19,70,289
469,120,29,2024-03-01,415,41,32,249
470,166,15,2024-01-01,438,4,75,224
471,386,23,2024-03-01,58,39,21,54
472,958,19,2025-01-01,485,3,44,124
473,360,50,2024-07-01,483,42,51,203
474,332,43,2025-03-01,492,49,61,73
475,859,34,2025-05-01,467,0,66,171
476,836,46,2024-06-01,242,16,61,99
477,861,35,2024-09-01,156,32,22,290
478,324,31,2025-09-01,62,45,14,223
479,958,15,2024-07-01,477,25,13,65
480,150,40,2025-11-01,434,29,27,190
481,9,13,2025-04-01,179,37,25,300
482,310,22,2025-11-01,124,46,24,197
483,371,19,2025-02-01,51,24,46,121
484,300,42,2025-08-01,6,49,13,69
485,38,7,2024-04-01,339,43,53,154
486,927,10,2025-04-01,396,21,19,147
487,995,11,2024-02-01,493,10,19,135
488,673,21,2025-05-01,95,39,69,225
489,1080,45,2024-04-01,255,3,80,151
490,897,9,2024-08-01,12,15,10,138
491,630,17,2025-05-01,379,37,18,50
492,706,9,2024-12-01,105,35,65,99
493,145,17,2025-11-01,344,29,52,90
494,1031,10,2024-12-01,481,35,19,64
495,883,11,2024-04-01,5,28,24,129
496,360,8,2024-05-01,455,16,54,194
497,719,8,2024-08-01,313,12,16,98
498,733,11,2024-08-01,463,36,32,131
499,235,40,2024-03-01,95,34,56,170
500,730,44,2025-05-01,94,1,28,244
501,474,30,2025-02-01,358,23,66,247
502,207,39,2025-01-01,86,31,70,282
503,612,30,2025-08-01,458,35,73,92
504,98,13,2025-01-01,134,17,71,295
505,244,13,2024-11-01,490,34,50,52
506,549,16,2024-06-01,278,49,14,135
507,1061,36,2025-10-01,276,17,51,86
508,206,34,2025-01-01,406,49,52,288
509,113,24,2025-12-01,296,18,25,119
510,964,16,2025-06-01,332,48,67,287
511,860,29,2024-03-01,407,16,30,164
512,989,18,2025-08-01,63,2,36,131
513,631,19,2024-08-01,91,27,44,75
514,951,16,2025-01-01,404,22,31,163
515,451,22,2024-10-01,475,50,80,286
516,1115,23,2024-05-01,193,8,62,95
517,1067,27,2025-12-01,483,25,27,165
518,262,11,2025-05-01,65,37,37,276
519,644,7,2024-02-01,0,8,70,128
520,1149,12,2025-01-01,183,29,33,134
521,526,38,2024-08-01,116,36,37,94
522,177,36,2025-08-01,305,5,10,222
523,656,11,2024-06-01,215,39,53,241
524,913,46,2024-05-01,175,25,43,91
525,258,30,2024-08-01,192,27,47,196
526,774,7,2024-09-01,42,47,11,293
527,807,23,2025-06-01,121,36,16,174
528,497,39,2025-05-01,219,7,16,208
529,1203,12,2025-03-01,407,37,46,279
530,845,17,2025-04-01,88,30,75,151
531,1110,45,2025-06-01,193,17,21,253
532,676,28,2025-10-01,79,35,21,257
533,421,40,2024-10-01,399,38,14,115
534,252,25,2024-11-01,182,49,75,161
535,991,29,2025-12-01,197,20,69,229
536,1152,29,2024-04-01,86,11,65,89
537,1102,35,2025-05-01,495,27,20,245
538,1024,1,2024-08-01,38,4,32,246
539,793,22,2024-02-01,90,5,35,61
540,272,27,2025-08-01,0,27,18,227
541,1152,28,2025-07-01,141,2,11,155
542,948,18,2024-07-01,167,19,39,256
543,705,33,2024-01-01,279,22,62,61
544,964,6,2024-08-01,374,29,19,176
545,997,4,2024-03-01,359,44,70,247
546,817,23,2025-03-01,486,34,77,261
547,893,17,2024-09-01,239,8,61,112
548,358,7,2024-10-01,58,37,69,111
549,1031,10,2025-12-01,121,12,67,175
550,647,29,2025-04-01,208,11,14,280
551,474,8,2025-05-01,195,43,72,51
552,705,41,2024-08-01,411,5,63,130
553,1172,22,2024-09-01,432,2,23,109
554,1166,15,2025-09-01,75,36,22,182
555,1138,47,2024-04-01,496,41,44,205
556,246,32,2025-02-01,83,15,18,151
557,648,24,2024-04-01,101,29,60,99
558,620,9,2025-08-01,104,9,78,204
559,475,32,2024-01-01,25,48,52,291
560,796,10,2024-05-01,384,2,22,280
561,615,24,2024-08-01,278,16,52,147
562,1031,44,2024-02-01,165,26,10,100
563,126,7,2024-05-01,175,7,44,154
564,1182,48,2024-10-01,479,13,51,82
565,772,40,2025-04-01,83,46,13,190
566,207,10,2025-05-01,211,30,21,187
567,47,24,2024-02-01,443,10,75,121
568,778,45,2024-10-01,220,17,39,140
569,742,45,2024-01-01,5,1,61,258
570,53,16,2025-01-01,120,34,36,115
571,42,50,2024-05-01,369,12,74,54
572,1138,15,2024-08-01,421,10,11,185
573,449,43,2025-06-01,145,3,10,126
574,820,23,2024-06-01,319,31,31,282
575,516,26,2025-08-01,346,28,79,203
576,805,8,2024-03-01,393,2,35,238
577,123,7,2024-10-01,165,26,43,172
578,596,24,2025-05-01,177,24,80,124
579,176,31,2025-10-01,226,31,66,79
580,767,9,2025-11-01,0,11,21,280
581,1135,18,2024-10-01,298,21,60,105
582,188,20,2024-10-01,204,19,40,63
583,971,23,2024-08-01,111,36,26,82
584,37,17,2025-11-01,137,46,37,237
585,689,6,2025-03-01,419,14,54,87
586,478,23,2025-05-01,109,17,22,190
587,681,8,2024-01-01,303,8,66,202
588,379,21,2024-02-01,335,43,64,57
589,534,49,2024-11-01,34,25,54,283
590,1107,12,2025-11-01,271,32,48,273
591,939,16,2024-08-01,134,8,48,53
592,704,45,2024-01-01,232,36,24,142
593,243,39,2025-08-01,289,8,40,299
594,1207,41,2024-03-01,225,7,30,87
595,752,8,2025-01-01,430,16,60,189
596,341,19,2025-02-01,90,17,32,124
597,288,13,2024-10-01,221,6,66,80
598,874,24,2025-04-01,449,24,55,97
599,717,13,2025-04-01,182,16,69,213
600,160,5,2024-02-01,446,0,41,252
601,699,12,2025-04-01,384,28,47,192
602,534,42,2024-12-01,337,9,42,62
603,473,40,2025-09-01,219,39,21,60
604,538,49,2025-06-01,300,18,40,208
605,321,15,2024-03-01,16,0,16,212
606,1136,26,2025-06-01,398,0,72,241
607,521,22,2025-11-01,246,12,32,178
608,450,19,2025-01-01,313,20,79,236
609,1029,5,2025-05-01,159,25,30,62
610,595,49,2025-04-01,486,28,37,201
611,769,25,2025-05-01,339,38,58,284
612,355,34,2025-02-01,490,4,18,82
613,1170,9,2024-03-01,257,22,34,152
614,1120,9,2025-01-01,109,42,35,78
615,941,45,2024-01-01,175,43,71,242
616,895,50,2025-10-01,22,36,37,207
617,342,14,2025-12-01,322,17,11,188
618,430,48,2024-08-01,229,32,66,158
619,250,18,2025-03-01,206,17,55,88
620,63,48,2025-10-01,66,50,37,69
621,104,10,2024-02-01,498,43,56,295
622,866,24,2025-12-01,345,12,57,217
623,754,14,2024-05-01,128,43,64,178
624,920,35,2024-09-01,355,34,28,55
625,1130,35,2025-01-01,328,37,58,96
626,1183,47,2024-02-01,34,21,53,298
627,183,4,2024-03-01,137,28,40,191
628,1099,5,2024-03-01,386,15,23,96
629,1018,26,2025-01-01,451,15,38,103
630,165,34,2025-12-01,175,43,10,147
631,460,47,2024-08-01,471,14,75,283
632,814,16,2024-06-01,260,30,17,91
633,201,12,2025-11-01,488,6,55,207
634,461,38,2025-04-01,99,40,11,221
635,331,8,2024-09-01,335,30,10,124
636,165,22,2024-07-01,270,20,17,205
637,686,7,2025-05-01,391,39,22,248
638,967,45,2024-12-01,292,20,75,285
639,578,30,2025-10-01,323,25,30,50
640,786,44,2025-02-01,273,39,20,71
641,932,45,2024-03-01,474,29,31,149
642,308,11,2024-04-01,411,45,39,206
643,135,9,2024-12-01,489,43,10,91
644,1002,10,2024-04-01,344,45,17,99
645,350,29,2024-05-01,126,39,19,118
646,898,31,2024-11-01,6,33,36,111
647,143,18,2024-11-01,192,33,41,66
648,369,47,2024-03-01,67,33,20,227
649,417,25,2025-10-01,105,49,35,206
650,61,13,2024-09-01,207,44,48,235
651,895,10,2024-01-01,275,49,50,64
652,677,18,2025-05-01,17,10,51,213
653,940,5,2024-07-01,172,36,50,159
654,1122,12,2025-02-01,140,7,30,185
655,408,41,2025-11-01,360,17,76,63
656,563,45,2025-10-01,338,36,67,264
